Time,HoTe,AwTe,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Ref,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HBP,ABP,HTTG,FTTG,TS,TST,TC,TF,TY,TR
15:00,Barnsley,Port Vale,7,0,H,2,0,H,D Rock,12,13,8,4,15,14,3,6,6,2,0,0,60,20,2,7,25,12,9,29,8,0
15:00,Blackpool,Burton,2,0,H,2,0,H,S Stockbridge,15,9,4,3,10,12,7,4,4,1,0,0,40,10,2,2,24,7,11,22,5,0
15:00,Bolton,Lincoln,3,0,H,1,0,H,W Finnie,16,6,4,0,19,16,10,1,3,3,0,0,30,30,1,3,22,4,11,35,6,0
15:00,Cambridge,Oxford,2,0,H,2,0,H,S Gill,10,10,6,3,9,10,2,10,4,1,0,0,40,10,2,2,20,9,12,19,5,0
15:00,Carlisle,Fleetwood Town,1,1,D,1,1,D,P Wright,15,13,6,5,8,18,5,2,2,3,0,0,20,30,2,2,28,11,7,26,5,0
15:00,Charlton,Leyton Orient,1,0,H,1,0,H,A Kitchen,13,8,5,3,9,14,2,3,3,2,0,0,30,20,1,1,21,8,5,23,5,0
15:00,Derby,Wigan,1,2,A,0,1,A,S Oldham,21,7,5,3,11,6,11,4,2,2,0,0,20,20,1,3,28,8,15,17,4,0
15:00,Northampton,Stevenage,0,1,A,0,0,D,L Smith,8,14,0,5,13,12,7,4,2,3,0,0,20,30,0,1,22,5,11,25,5,0
15:00,Portsmouth,Bristol Rvs,1,1,D,0,1,A,S Allison,21,10,5,6,14,13,11,3,4,3,0,0,40,30,1,2,31,11,14,27,7,0
15:00,Reading,Peterboro,0,1,A,0,1,A,S Mather,15,13,4,6,12,9,6,6,6,4,0,0,60,40,1,1,28,10,12,21,10,0
15:00,Shrewsbury,Cheltenham,1,0,H,0,0,D,C Pollard,12,16,3,4,10,7,5,4,3,2,0,0,30,20,0,1,28,7,9,17,5,0
15:00,Wycombe,Exeter,0,3,A,0,2,A,C Breakspear,10,11,1,7,11,12,4,5,2,2,0,0,20,20,2,3,21,8,9,23,4,0
15:00,Bristol Rvs,Barnsley,1,1,D,0,1,A,C Brook,15,9,4,3,13,10,7,2,0,3,0,0,0,30,1,2,24,7,9,23,3,0
15:00,Burton,Derby,0,3,A,0,1,A,J Bell,14,8,2,5,12,7,6,2,1,3,0,0,10,30,1,3,22,7,8,19,4,0
15:00,Cheltenham,Bolton,0,3,A,0,3,A,D Rock,5,16,2,7,7,9,3,9,2,1,0,0,20,10,3,3,21,9,12,16,3,0
15:00,Exeter,Blackpool,0,0,D,0,0,D,S Purkiss,11,4,1,3,6,7,6,7,2,1,0,0,20,10,0,0,15,4,13,13,3,0
15:00,Fleetwood Town,Cambridge,0,2,A,0,1,A,S Stockbridge,13,16,2,7,16,14,9,6,3,3,0,0,30,30,1,2,29,9,15,30,6,0
15:00,Leyton Orient,Portsmouth,0,4,A,0,2,A,O Yates,11,10,3,4,10,8,3,3,2,2,0,0,20,20,2,4,21,7,6,18,4,0
15:00,Lincoln,Wycombe,3,0,H,0,0,D,A Herczeg,14,7,8,4,11,12,3,6,2,2,0,0,20,20,0,3,21,12,9,23,4,0
15:00,Oxford,Carlisle,1,0,H,0,0,D,J Simpson,14,8,3,0,9,17,5,4,0,4,0,0,0,40,0,1,22,3,9,26,4,0
15:00,Peterboro,Charlton,1,0,H,1,0,H,L Swabey,14,12,3,2,15,12,7,5,5,5,0,0,50,50,1,1,26,5,12,27,10,0
15:00,Port Vale,Reading,1,0,H,0,0,D,P Wright,17,9,3,1,7,11,5,2,0,2,0,0,0,20,0,1,26,4,7,18,2,0
15:00,Stevenage,Shrewsbury,2,0,H,0,0,D,C Hicks,14,2,6,1,7,12,13,3,0,3,0,0,0,30,0,2,16,7,16,19,3,0
15:00,Wigan,Northampton,2,1,H,0,1,A,R Joyce,24,17,5,3,10,14,8,5,4,4,0,0,40,40,1,3,41,8,13,24,8,0
19:45,Barnsley,Peterboro,1,3,A,0,0,D,A Backhouse,13,18,7,9,7,7,10,5,0,1,0,0,0,10,0,4,31,16,15,14,1,0
19:45,Blackpool,Port Vale,0,0,D,0,0,D,R Joyce,14,8,4,1,5,9,4,2,1,1,0,0,10,10,0,0,22,5,6,14,2,0
19:45,Bolton,Fleetwood Town,3,1,H,3,0,H,T Nield,8,10,5,7,11,12,5,12,2,4,1,0,45,40,3,4,18,12,17,23,6,1
19:45,Cambridge,Stevenage,1,2,A,0,1,A,W Finnie,11,11,3,6,11,17,6,3,0,3,0,0,0,30,1,3,22,9,9,28,3,0
19:45,Carlisle,Wigan,1,1,D,0,1,A,M Edwards,11,14,2,4,15,6,3,5,4,2,0,0,40,20,1,2,25,6,8,21,6,0
19:45,Charlton,Bristol Rvs,1,2,A,0,0,D,C Breakspear,18,14,5,7,12,6,7,5,1,2,0,0,10,20,0,3,32,12,12,18,3,0
19:45,Derby,Oxford,1,2,A,0,1,A,B Toner,11,14,4,4,17,13,15,4,5,2,0,0,50,20,1,3,25,8,19,30,7,0
19:45,Northampton,Lincoln,2,2,D,0,1,A,O Yates,19,6,9,3,9,7,3,1,1,0,0,0,10,0,1,4,25,12,4,16,1,0
19:45,Shrewsbury,Burton,2,1,H,2,0,H,S Oldham,9,12,3,4,7,14,4,3,1,4,0,0,10,40,2,3,21,7,7,21,5,0
19:45,Wycombe,Leyton Orient,3,2,H,1,1,D,T Parsons,15,15,6,6,4,8,3,7,1,3,0,1,10,55,2,5,30,12,10,12,4,1
20:00,Portsmouth,Exeter,1,0,H,0,0,D,T Reeves,13,9,7,5,14,11,8,6,5,1,0,0,50,10,0,1,22,12,14,25,6,0
20:00,Reading,Cheltenham,1,0,H,1,0,H,B Speedie,11,10,4,3,11,7,7,7,2,2,0,0,20,20,1,1,21,7,14,18,4,0
12:30,Bolton,Wigan,0,4,A,0,3,A,T Reeves,20,11,4,5,18,11,4,2,2,3,0,0,20,30,3,4,31,9,6,29,5,0
